Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),ACR(Ohm),Internal Resistance(Ohm),dV/dt(V/s),dI/dt(A/s)
45,"392,6131","05-07-2018 11:43:43,879","332,5181",2,1,"1,5001335144043","3,57994747161865","0,138546168804169",0,"0,485783815383911",0,,,"0,000201225280761719",
46,"402,6168","05-07-2018 11:43:53,882","342,5218",2,1,"1,50008583068848","3,58162403106689","0,142716228961945",0,"0,500715970993042",0,,,"0,000151634216308594",
47,"412,6169","05-07-2018 11:44:03,882","352,5219",2,1,"1,50008773803711","3,58300113677979","0,146879851818085",0,"0,515631437301636",0,,,"0,000155448913574219",
48,"422,6177","05-07-2018 11:44:13,883","362,5227",2,1,"1,50009918212891","3,5842866897583","0,151046559214592",0,"0,530563533306122",0,,,"0,000108718872070313",
49,"432,6199","05-07-2018 11:44:23,885","372,5249",2,1,"1,50009918212891","3,58546352386475","0,15521627664566",0,"0,545511484146118",0,,,"0,000123023986816406",
50,"442,6226","05-07-2018 11:44:33,888","382,5276",2,1,"1,5001049041748","3,58670997619629","0,159383907914162",0,"0,560457050800324",0,,,"0,000108718872070313",
51,"452,625","05-07-2018 11:44:43,891","392,53",2,1,"1,50014305114746","3,58801555633545","0,163550227880478",0,"0,575403094291687",0,,,"0,000159263610839844",
52,"462,6284","05-07-2018 11:44:53,894","402,5334",2,1,"1,50010871887207","3,58924674987793","0,167717292904854",0,"0,59035712480545",0,,,"0,000107765197753906",
53,"472,6294","05-07-2018 11:45:03,895","412,5344",2,1,"1,50006866455078","3,59046459197998","0,171885415911675",0,"0,60532009601593",0,,,"0,000124931335449219",
54,"482,6328","05-07-2018 11:45:13,898","422,5378",2,1,"1,50005340576172","3,59169292449951","0,176053404808044",0,"0,620287716388702",0,,,"9,918212890625E-05",
55,"492,6355","05-07-2018 11:45:23,901","432,5405",2,1,"1,50009346008301","3,59291934967041","0,180220827460289",0,"0,635258316993713",0,,,"0,000102996826171875",
56,"502,6389","05-07-2018 11:45:33,904","442,5439",2,1,"1,50009918212891","3,59416389465332","0,184388652443886",0,"0,650235533714294",0,,,"0,000118255615234375",
57,"512,6408","05-07-2018 11:45:43,906","452,5458",2,1,"1,50009727478027","3,5954065322876","0,188556984066963",0,"0,665219664573669",0,,,"0,000108718872070313",
58,"522,645","05-07-2018 11:45:53,911","462,55",2,1,"1,50010108947754","3,59671592712402","0,192724213004112",0,"0,680205166339874",0,,,"0,000162124633789063",
59,"532,6456","05-07-2018 11:46:03,911","472,5506",2,1,"1,50012397766113","3,59798336029053","0,196890875697136",0,"0,695194005966187",0,,,"0,000150680541992188",
60,"542,6478","05-07-2018 11:46:13,913","482,5528",2,1,"1,50008392333984","3,59916687011719","0,201059699058533",0,"0,71019572019577",0,,,"0,0001220703125",
61,"552,6518","05-07-2018 11:46:23,917","492,5568",2,1,"1,50012588500977","3,60034942626953","0,205226674675941",0,"0,72519588470459",0,,,"0,000091552734375",
62,"562,654","05-07-2018 11:46:33,920","502,559",2,1,"1,50011825561523","3,60166645050049","0,209394559264183",0,"0,740204453468323",0,,,"0,000154495239257813",
63,"572,6562","05-07-2018 11:46:43,922","512,5612",2,1,"1,50009918212891","3,6029167175293","0,213560998439789",0,"0,755213260650635",0,,,"9,72747802734375E-05",
64,"582,6603","05-07-2018 11:46:53,926","522,5653",2,1,"1,50007820129395","3,60426712036133","0,217729046940804",0,"0,770233273506165",0,,,"0,000135421752929688",
65,"592,6612","05-07-2018 11:47:03,927","532,5662",2,1,"1,5001049041748","3,60563373565674","0,221896603703499",0,"0,785257041454315",0,,,"0,000140190124511719",
66,"602,6617","05-07-2018 11:47:13,927","542,5667",2,1,"1,50008964538574","3,60686588287354","0,226061403751373",0,"0,800276279449463",0,,,"0,000176429748535156",
67,"612,6634","05-07-2018 11:47:23,929","552,5684",2,1,"1,50010871887207","3,60811328887939","0,230229929089546",0,"0,815314173698425",0,,,"0,000148773193359375",
68,"622,6675","05-07-2018 11:47:33,933","562,5725",2,1,"1,50007820129395","3,60933589935303","0,234397873282433",0,"0,830355167388916",0,,,"0,000145912170410156",
69,"632,6678","05-07-2018 11:47:43,933","572,5728",2,1,"1,50008583068848","3,61067485809326","0,238562390208244",0,"0,845389008522034",0,,,"0,000147819519042969",
70,"642,6687","05-07-2018 11:47:53,934","582,5737",2,1,"1,50008392333984","3,61197662353516","0,24272982776165",0,"0,860438942909241",0,,,"0,000107765197753906",
71,"652,6719","05-07-2018 11:48:03,938","592,5769",2,1,"1,50008201599121","3,6132755279541","0,246898844838142",0,"0,875500082969666",0,,,"0,00019073486328125",
72,"662,672","05-07-2018 11:48:13,938","602,577",2,1,"1,50008964538574","3,61458301544189","0,251064568758011",0,"0,890554666519165",0,,,"8,29696655273438E-05",
73,"672,676","05-07-2018 11:48:23,942","612,581",2,1,"1,50008964538574","3,61583995819092","0,255232155323029",0,"0,905621349811554",0,,,"0,000115394592285156",
74,"682,6762","05-07-2018 11:48:33,942","622,5812",2,1,"1,50004386901855","3,61712551116943","0,259399712085724",0,"0,920693397521973",0,,,"0,000102996826171875",
75,"692,6789","05-07-2018 11:48:43,944","632,5839",2,1,"1,50009155273438","3,61847019195557","0,263567239046097",0,"0,935770690441132",0,,,"0,00016021728515625",
76,"702,6825","05-07-2018 11:48:53,948","642,5875",2,1,"1,5001049041748","3,61963653564453","0,267733216285706",0,"0,950847506523132",0,,,"8,29696655273438E-05",
77,"712,6827","05-07-2018 11:49:03,948","652,5877",2,1,"1,50005722045898","3,62081813812256","0,271901398897171",0,"0,965937316417694",0,,,"0,0001220703125",
78,"722,6845","05-07-2018 11:49:13,950","662,5895",2,1,"1,50008583068848","3,62211608886719","0,276068270206451",0,"0,98102742433548",0,,,"0,000126838684082031",
79,"732,6867","05-07-2018 11:49:23,952","672,5917",2,1,"1,50009918212891","3,62337684631348","0,280233830213547",0,"0,996118247509003",0,,,"0,000123977661132813",
80,"742,6876","05-07-2018 11:49:33,953","682,5926",2,1,"1,50011253356934","3,62459945678711","0,284401535987854",0,"1,01122188568115",0,,,"0,000111579895019531",
81,"752,6895","05-07-2018 11:49:43,955","692,5945",2,1,"1,50005912780762","3,62581062316895","0,288568675518036",0,"1,02632868289948",0,,,"0,000145912170410156",
82,"762,6935","05-07-2018 11:49:53,959","702,5985",2,1,"1,50009727478027","3,62699317932129","0,292735487222672",0,"1,04143929481506",0,,,"0,000107765197753906",
83,"772,6946","05-07-2018 11:50:03,960","712,5996",2,1,"1,50009918212891","3,6281213760376","0,296904355287552",0,"1,05656206607819",0,,,"0,000118255615234375",
84,"782,6975","05-07-2018 11:50:13,963","722,6025",2,1,"1,50011825561523","3,62938976287842","0,301071971654892",0,"1,07168543338776",0,,,"0,000113487243652344",
85,"792,6999","05-07-2018 11:50:23,965","732,6049",2,1,"1,50007820129395","3,63070678710938","0,305237233638763",0,"1,08680558204651",0,,,"0,000126838684082031",
86,"802,7023","05-07-2018 11:50:33,968","742,6073",2,1,"1,50009155273438","3,63193988800049","0,309404373168945",0,"1,10193777084351",0,,,"0,000150680541992188",
87,"812,7061","05-07-2018 11:50:43,972","752,6111",2,1,"1,50002670288086","3,63314628601074","0,313572436571121",0,"1,11707842350006",0,,,"0,000152587890625",
88,"822,7085","05-07-2018 11:50:53,974","762,6135",2,1,"1,50007629394531","3,6343994140625","0,317741692066193",0,"1,13222861289978",0,,,"0,000157356262207031",
89,"832,7105","05-07-2018 11:51:03,976","772,6155",2,1,"1,5001220703125","3,63562774658203","0,32190865278244",0,"1,14737546443939",0,,,"0,000138282775878906",
90,"842,7146","05-07-2018 11:51:13,980","782,6196",2,1,"1,5001049041748","3,63689136505127","0,326076924800873",0,"1,16253244876862",0,,,"0,000107765197753906",
91,"852,7157","05-07-2018 11:51:23,981","792,6207",2,1,"1,50010871887207","3,63818550109863","0,330242842435837",0,"1,17768621444702",0,,,"0,0001373291015625",
92,"862,7157","05-07-2018 11:51:33,981","802,6207",2,1,"1,50007057189941","3,63953113555908","0,334408789873123",0,"1,19284534454346",0,,,"0,000123023986816406",
93,"872,7171","05-07-2018 11:51:43,983","812,6221",2,1,"1,5001049041748","3,64097690582275","0,338575631380081",0,"1,20801365375519",0,,,"0,000156402587890625",
94,"882,7197","05-07-2018 11:51:53,985","822,6247",2,1,"1,50010299682617","3,64235687255859","0,342743307352066",0,"1,22319090366364",0,,,"0,000157356262207031",
95,"892,7225","05-07-2018 11:52:03,988","832,6275",2,1,"1,50013160705566","3,64379215240479","0,346911162137985",0,"1,23837459087372",0,,,"0,000187873840332031",
96,"902,7268","05-07-2018 11:52:13,992","842,6318",2,1,"1,50008010864258","3,64522933959961","0,351079285144806",0,"1,25356543064117",0,,,"0,000124931335449219",
97,"912,7294","05-07-2018 11:52:23,995","852,6344",2,1,"1,5001220703125","3,64674282073975","0,355246782302856",0,"1,26875984668732",0,,,"0,000163078308105469",
98,"922,7303","05-07-2018 11:52:33,996","862,6353",2,1,"1,50009727478027","3,64831829071045","0,359412431716919",0,"1,28395414352417",0,,,"0,000186920166015625",
99,"932,7313","05-07-2018 11:52:43,997","872,6363",2,1,"1,50011825561523","3,64976215362549","0,36357969045639",0,"1,29916071891785",0,,,"0,000134468078613281",
100,"942,7347","05-07-2018 11:52:54,000","882,6397",2,1,"1,50009918212891","3,65132331848145","0,367747336626053",0,"1,31437480449677",0,,,"0,000158309936523438",
101,"952,7375","05-07-2018 11:53:04,003","892,6425",2,1,"1,50012397766113","3,65293979644775","0,37191566824913",0,"1,32959806919098",0,,,"0,0001373291015625",
102,"962,7385","05-07-2018 11:53:14,004","902,6435",2,1,"1,50006103515625","3,65459251403809","0,376081436872482",0,"1,34481871128082",0,,,"0,000192642211914063",
103,"972,7404","05-07-2018 11:53:24,006","912,6454",2,1,"1,50006294250488","3,6561975479126","0,380246818065643",0,"1,36004483699799",0,,,"0,000147819519042969",
104,"982,7437","05-07-2018 11:53:34,009","922,6487",2,1,"1,50008201599121","3,65789222717285","0,38441476225853",0,"1,37528729438782",0,,,"0,000157356262207031",
105,"992,7467","05-07-2018 11:53:44,012","932,6517",2,1,"1,50005340576172","3,65960121154785","0,388585537672043",0,"1,39054715633392",0,,,"0,000134468078613281",
106,"1002,7469","05-07-2018 11:53:54,012","942,6519",2,1,"1,50006866455078","3,66130924224854","0,392750382423401",0,"1,40579235553741",0,,,"0,000189781188964844",
107,"1012,7486","05-07-2018 11:54:04,014","952,6536",2,1,"1,50008964538574","3,66301345825195","0,396917521953583",0,"1,42105329036713",0,,,"0,000212669372558594",
108,"1022,7527","05-07-2018 11:54:14,018","962,6577",2,1,"1,50007629394531","3,66478824615479","0,401084840297699",0,"1,43632185459137",0,,,"0,000196456909179688",
109,"1032,7533","05-07-2018 11:54:24,019","972,6583",2,1,"1,50005722045898","3,66653633117676","0,405251771211624",0,"1,45159649848938",0,,,"0,000194549560546875",
110,"1042,7567","05-07-2018 11:54:34,022","982,6617",2,1,"1,50008773803711","3,66836166381836","0,409422636032105",0,"1,46689283847809",0,,,"0,00020599365234375",
111,"1052,761","05-07-2018 11:54:44,027","992,666",2,1,"1,50007820129395","3,67017078399658","0,413589090108871",0,"1,48218059539795",0,,,"0,00017547607421875",
112,"1062,7633","05-07-2018 11:54:54,029","1002,6683",2,1,"1,50010108947754","3,67193031311035","0,417755514383316",0,"1,49747586250305",0,,,"0,000254631042480469",
113,"1072,7679","05-07-2018 11:55:04,033","1012,6729",2,1,"1,50015449523926","3,67374706268311","0,42192617058754",0,"1,51279401779175",0,,,"0,000206947326660156",
114,"1082,7697","05-07-2018 11:55:14,035","1022,6747",2,1,"1,50011444091797","3,67552375793457","0,426092594861984",0,"1,52810406684875",0,,,"0,000201225280761719",
115,"1092,7699","05-07-2018 11:55:24,035","1032,6749",2,1,"1,50010299682617","3,67728328704834","0,430258274078369",0,"1,54341876506805",0,,,"0,000195503234863281",
116,"1102,7699","05-07-2018 11:55:34,035","1042,6749",2,1,"1,50007247924805","3,67899608612061","0,434427440166473",0,"1,558753490448",0,,,"0,000193595886230469",
117,"1112,7734","05-07-2018 11:55:44,039","1052,6784",2,1,"1,5001106262207","3,6807279586792","0,4385946393013",0,"1,57408821582794",0,,,"0,000148773193359375",
118,"1122,776","05-07-2018 11:55:54,042","1062,681",2,1,"1,5001335144043","3,68250560760498","0,442760288715363",0,"1,58942461013794",0,,,"0,000209808349609375",
119,"1132,7771","05-07-2018 11:56:04,043","1072,6821",2,1,"1,50011444091797","3,68424415588379","0,446930378675461",0,"1,60478460788727",0,,,"0,000185012817382813",
120,"1142,7821","05-07-2018 11:56:14,048","1082,6871",2,1,"1,50013732910156","3,68591690063477","0,451099216938019",0,"1,62014698982239",0,,,"0,000229835510253906",
121,"1152,7848","05-07-2018 11:56:24,050","1092,6898",2,1,"1,50012397766113","3,6876049041748","0,455263167619705",0,"1,63549852371216",0,,,"0,000185012817382813",
122,"1162,7858","05-07-2018 11:56:34,051","1102,6908",2,1,"1,50010871887207","3,68927764892578","0,459433943033218",0,"1,65088224411011",0,,,"0,000203132629394531",
123,"1172,7901","05-07-2018 11:56:44,056","1112,6951",2,1,"1,50007247924805","3,69096374511719","0,46360257267952",0,"1,66626489162445",0,,,"0,000186920166015625",
124,"1182,7954","05-07-2018 11:56:54,061","1122,7004",2,1,"1,50011253356934","3,69255256652832","0,467767804861069",0,"1,68164205551147",0,,,"0,000138282775878906",
125,"1192,7971","05-07-2018 11:57:04,063","1132,7021",2,1,"1,50010681152344","3,69422245025635","0,4719378054142",0,"1,69704365730286",0,,,"0,000174522399902344",
126,"1202,7979","05-07-2018 11:57:14,063","1142,7029",2,1,"1,50012016296387","3,69587898254395","0,476103901863098",0,"1,71243751049042",0,,,"0,000188827514648438",
127,"1212,8018","05-07-2018 11:57:24,067","1152,7068",2,1,"1,50008773803711","3,69755935668945","0,480273365974426",0,"1,72785079479218",0,,,"0,000146865844726563",
128,"1222,8025","05-07-2018 11:57:34,068","1162,7075",2,1,"1,50010108947754","3,69918632507324","0,484439879655838",0,"1,74326026439667",0,,,"0,000171661376953125",
129,"1232,8068","05-07-2018 11:57:44,072","1172,7118",2,1,"1,5001220703125","3,70088005065918","0,488608360290527",0,"1,75868368148804",0,,,"0,00016021728515625",
130,"1242,811","05-07-2018 11:57:54,077","1182,716",2,1,"1,50012588500977","3,70253944396973","0,492775857448578",0,"1,7741105556488",0,,,"0,000171661376953125",
131,"1252,8113","05-07-2018 11:58:04,077","1192,7163",2,1,"1,50008583068848","3,70420360565186","0,496943652629852",0,"1,78954553604126",0,,,"0,000243186950683594",
132,"1262,8173","05-07-2018 11:58:14,083","1202,7223",2,1,"1,50006675720215","3,70587253570557","0,501110792160034",0,"1,80498492717743",0,,,"0,000152587890625",
133,"1272,8174","05-07-2018 11:58:24,083","1212,7224",2,1,"1,50006675720215","3,70759963989258","0,505279183387756",0,"1,82043612003326",0,,,"0,000239372253417969",
134,"1282,8225","05-07-2018 11:58:34,088","1222,7275",2,1,"1,50008773803711","3,70922756195068","0,509447753429413",0,"1,83589458465576",0,,,"0,000178337097167969",
135,"1292,823","05-07-2018 11:58:44,089","1232,728",2,1,"1,50014305114746","3,71086025238037","0,513614356517792",0,"1,85135304927826",0,,,"0,000208854675292969",
136,"1302,8287","05-07-2018 11:58:54,094","1242,7337",2,1,"1,5001049041748","3,71244049072266","0,517782390117645",0,"1,86682331562042",0,,,"0,000158309936523438",
137,"1312,8304","05-07-2018 11:59:04,096","1252,7354",2,1,"1,50012397766113","3,71404457092285","0,521949946880341",0,"1,88229858875275",0,,,"0,000176429748535156",
138,"1322,833","05-07-2018 11:59:14,099","1262,738",2,1,"1,50010871887207","3,71563053131104","0,526118636131287",0,"1,89778459072113",0,,,"0,00017547607421875",
139,"1332,8342","05-07-2018 11:59:24,100","1272,7392",2,1,"1,50009346008301","3,71716213226318","0,530284523963928",0,"1,91326677799225",0,,,"0,000125885009765625",
140,"1342,8347","05-07-2018 11:59:34,100","1282,7397",2,1,"1,50011444091797","3,71870517730713","0,534450471401215",0,"1,928755402565",0,,,"0,0001678466796875",
141,"1352,8385","05-07-2018 11:59:44,104","1292,7435",2,1,"1,50007629394531","3,72017002105713","0,538617968559265",0,"1,94425630569458",0,,,"0,000136375427246094",
142,"1362,8419","05-07-2018 11:59:54,107","1302,7469",2,1,"1,50008392333984","3,72163105010986","0,54278564453125",0,"1,95976364612579",0,,,"0,000145912170410156",
143,"1372,8462","05-07-2018 12:00:04,112","1312,7512",2,1,"1,50008773803711","3,72300052642822","0,546953499317169",0,"1,9752779006958",0,,,"0,000141143798828125",
144,"1382,8497","05-07-2018 12:00:14,115","1322,7547",2,1,"1,50006294250488","3,72440242767334","0,551121175289154",0,"1,99079716205597",0,,,"0,000136375427246094",
145,"1392,85","05-07-2018 12:00:24,116","1332,755",2,1,"1,50009155273438","3,72578048706055","0,555288732051849",0,"2,0063214302063",0,,,"0,000154495239257813",
146,"1402,851","05-07-2018 12:00:34,117","1342,756",2,1,"1,50006484985352","3,72709655761719","0,559456527233124",0,"2,02185249328613",0,,,"0,000168800354003906",
147,"1412,8516","05-07-2018 12:00:44,117","1352,7566",2,1,"1,50008964538574","3,728346824646","0,563621699810028",0,"2,03737902641296",0,,,"0,000102043151855469",
148,"1422,8531","05-07-2018 12:00:54,119","1362,7581",2,1,"1,50008583068848","3,72961139678955","0,567789614200592",0,"2,05292105674744",0,,,"0,000108718872070313",
149,"1432,8578","05-07-2018 12:01:04,123","1372,7628",2,1,"1,50007629394531","3,73089218139648","0,571958065032959",0,"2,06847071647644",0,,,"0,000140190124511719",
150,"1442,8579","05-07-2018 12:01:14,124","1382,7629",2,1,"1,50005912780762","3,73214149475098","0,576122522354126",0,"2,08401036262512",0,,,"0,000123977661132813",
151,"1452,862","05-07-2018 12:01:24,128","1392,767",2,1,"1,50011444091797","3,73338508605957","0,58029168844223",0,"2,0995728969574",0,,,"0,000150680541992188",
152,"1462,8669","05-07-2018 12:01:34,132","1402,7719",2,1,"1,50009727478027","3,73457622528076","0,58446192741394",0,"2,11514449119568",0,,,"0,000124931335449219",
153,"1472,8704","05-07-2018 12:01:44,136","1412,7754",2,1,"1,50011825561523","3,7357931137085","0,588628828525543",0,"2,13070869445801",0,,,"0,000139236450195313",
154,"1482,8747","05-07-2018 12:01:54,140","1422,7797",2,1,"1,50009918212891","3,7369966506958","0,592796921730042",0,"2,1462824344635",0,,,"9,63211059570313E-05",
155,"1492,8789","05-07-2018 12:02:04,145","1432,7839",2,1,"1,50011253356934","3,73816204071045","0,596964061260223",0,"2,16185712814331",0,,,"8,67843627929688E-05",
156,"1502,8839","05-07-2018 12:02:14,149","1442,7889",2,1,"1,50011825561523","3,73931884765625","0,601132988929749",0,"2,17744398117065",0,,,"0,000156402587890625",
157,"1512,8883","05-07-2018 12:02:24,154","1452,7933",2,1,"1,50007820129395","3,74044227600098","0,605300068855286",0,"2,19302821159363",0,,,"0,000102043151855469",
158,"1522,8925","05-07-2018 12:02:34,158","1462,7975",2,1,"1,50014305114746","3,7415599822998","0,609470844268799",0,"2,20863103866577",0,,,"0,000135421752929688",
159,"1532,8962","05-07-2018 12:02:44,162","1472,8012",2,1,"1,50012588500977","3,74266719818115","0,613638162612915",0,"2,22422575950623",0,,,"0,000123977661132813",
160,"1542,8962","05-07-2018 12:02:54,162","1482,8012",2,1,"1,50012397766113","3,74370956420898","0,617805361747742",0,"2,23982429504395",0,,,"0,000102043151855469",
161,"1552,898","05-07-2018 12:03:04,164","1492,803",2,1,"1,50008773803711","3,74476051330566","0,621971487998962",0,"2,25542306900024",0,,,"0,000133514404296875",
162,"1562,9006","05-07-2018 12:03:14,166","1502,8056",2,1,"1,50010871887207","3,74575901031494","0,626139283180237",0,"2,27103281021118",0,,,"0,0001678466796875",
163,"1572,9041","05-07-2018 12:03:24,170","1512,8091",2,1,"1,5001049041748","3,74679088592529","0,630307912826538",0,"2,28664970397949",0,,,"0,0001220703125",
164,"1582,906","05-07-2018 12:03:34,172","1522,811",2,1,"1,50009727478027","3,74772644042969","0,634474277496338",0,"2,3022620677948",0,,,"0,000102996826171875",
165,"1592,9071","05-07-2018 12:03:44,173","1532,8121",2,1,"1,50010871887207","3,74862670898438","0,638642132282257",0,"2,31788396835327",0,,,"2,57492065429688E-05",
