Data_Point,Date_Time,Test_Time(s),Step_Time(s),Step_Index,Cycle_Index,Voltage(V),Current(A),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),ACR(Ohm),Internal Resistance(Ohm),dV/dt(V/s),dI/dt(A/s),Aux_Temperature_1,Aux_Temperature_2
18,"08-24-2018 10:23:31,892","99,9522","39,8508",2,1,"3,3424391746521","1,50006103515625","0,016600850969553",0,"0,0548268705606461",0,,,"0,00171566009521484",,"34,4849243164063","34,6893043518066"
19,"08-24-2018 10:23:37,992","106,0517","45,9503",2,1,"3,35244131088257","1,50003623962402","0,0191395506262779",0,"0,0633251592516899",0,,,"0,00165557861328125",,"34,4879798388214","34,6231242539539"
20,"08-24-2018 10:23:44,364","112,4237","52,3223",2,1,"3,3624415397644","1,50002479553223","0,021797189489007",0,"0,0722481235861778",0,,,"0,00158786773681641",,"34,4883078976377","34,6188633039791"
21,"08-24-2018 10:23:51,129","119,1895","59,0881",2,1,"3,37244558334351","1,50004577636719","0,0246160198003054",0,"0,0817404463887215",0,,,"0,00148868560791016",,"34,4831276153178","34,626500215028"
22,"08-24-2018 10:23:58,205","126,2651","66,1637",2,1,"3,38246011734009","1,50003051757813","0,0275631118565798",0,"0,091694250702858",0,,,"0,00141429901123047",,"34,5276298522949","34,6695022583008"
23,"08-24-2018 10:24:05,620","133,6803","73,5789",2,1,"3,39246320724487","1,50004386901855","0,0306531991809607",0,"0,102161921560764",0,,,"0,00136947631835938",,"34,5127220153809","34,6274223327637"
24,"08-24-2018 10:24:13,415","141,475","81,3736",2,1,"3,40247488021851","1,50003242492676","0,0339010842144489",0,"0,113196633756161",0,,,"0,00127983093261719",,"34,4944229125977","34,5837936401367"
25,"08-24-2018 10:24:21,562","149,6222","89,5208",2,1,"3,41247987747192","1,50001525878906","0,0372952409088612",0,"0,124762274324894",0,,,"0,00126266479492188",,"34,4846839904785","34,6219100952148"
26,"08-24-2018 10:24:30,117","158,1771","98,0757",2,1,"3,42248392105103","1,49996948242188","0,0408575460314751",0,"0,136936515569687",0,,,"0,00119590759277344",,"34,4846839904785","34,6460072561651"
27,"08-24-2018 10:24:39,067","167,1268","107,0254",2,1,"3,43248987197876","1,50003242492676","0,0445880964398384",0,"0,14972311258316",0,,,"0,00111961364746094",,"34,4947471618652","34,6441612243652"
28,"08-24-2018 10:24:48,423","176,483","116,3816",2,1,"3,44249486923218","1,50002479553223","0,0484842024743557",0,"0,163116067647934",0,,,"0,00109100341796875",,"34,4685134887695","34,6310768127441"
29,"08-24-2018 10:24:58,284","186,344","126,2426",2,1,"3,45249605178833","1,50000953674316","0,0525948479771614",0,"0,17728765308857",0,,,"0,000972747802734375",,"34,4624328613281","34,5981216430664"
30,"08-24-2018 10:25:08,287","196,3475","136,2461",2,1,"3,46221780776978","1,50000953674316","0,056762732565403",0,"0,191697657108307",0,,,"0,000998497009277344",,"34,4706725250541","34,5661319115823"
31,"08-24-2018 10:25:18,291","206,3509","146,2495",2,1,"3,47134447097778","1,5","0,0609296709299088",0,"0,206143662333488",0,,,"0,000917434692382813",,"34,4050903320313","34,5722122192383"
32,"08-24-2018 10:25:28,293","216,3527","156,2513",2,1,"3,48002481460571","1,49999618530273","0,0650968104600906",0,"0,220627546310425",0,,,"0,000872611999511719",,"34,4474830627441","34,6201057434082"
33,"08-24-2018 10:25:38,295","226,3553","166,2539",2,1,"3,4881386756897","1,50000381469727","0,0692651718854904",0,"0,235150650143623",0,,,"0,000820159912109375",,"34,4575499481854","34,6691965917387"
34,"08-24-2018 10:25:48,296","236,3557","176,2543",2,1,"3,4956431388855","1,49999237060547","0,0734306871891022",0,"0,249696329236031",0,,,"0,000730514526367188",,"34,4657859802246","34,6603355407715"
35,"08-24-2018 10:25:58,296","246,3558","186,2544",2,1,"3,50264024734497","1,50002670288086","0,0775991752743721",0,"0,264282584190369",0,,,"0,000700950622558594",,"34,4523658752441","34,7213096618652"
36,"08-24-2018 10:26:08,302","256,362","196,2606",2,1,"3,50917482376099","1,50005149841309","0,0817674621939659",0,"0,278896331787109",0,,,"0,000651359558105469",,"34,4651565551758","34,6411437988281"
37,"08-24-2018 10:26:18,306","266,366","206,2646",2,1,"3,51530885696411","1,5000114440918","0,0859343558549881",0,"0,293531596660614",0,,,"0,000611305236816406",,"34,4715728759766","34,6460075378418"
38,"08-24-2018 10:26:28,306","276,3663","216,2649",2,1,"3,52111482620239","1,49999618530273","0,0901008471846581",0,"0,30819034576416",0,,,"0,000575065612792969",,"34,4694404815284","34,6652069091797"
39,"08-24-2018 10:26:38,310","286,3699","226,2685",2,1,"3,52661275863647","1,50000762939453","0,094269186258316",0,"0,322879046201706",0,,,"0,000535011291503906",,"34,5005302429199","34,7557716369629"
40,"08-24-2018 10:26:48,312","296,3724","236,271",2,1,"3,53171491622925","1,50003433227539","0,0984374806284905",0,"0,337589800357819",0,,,"0,000451087951660156",,"34,5044822692871","34,5764656066895"
41,"08-24-2018 10:26:58,317","306,3766","246,2752",2,1,"3,53662824630737","1,50006866455078","0,102604798972607",0,"0,35231801867485",0,,,"0,000469207763671875",,"34,4904632568359","34,6652069091797"
42,"08-24-2018 10:27:08,321","316,3816","256,2802",2,1,"3,54129648208618","1,50002479553223","0,106770381331444",0,"0,367059946060181",0,,,"0,000475883483886719",,"34,5017547607422","34,6902389526367"
43,"08-24-2018 10:27:18,323","326,3835","266,2821",2,1,"3,54572439193726","1,50001525878906","0,110939629375935",0,"0,381833791732788",0,,,"0,000468254089355469",,"34,5072059631348","34,7112731933594"
44,"08-24-2018 10:27:28,325","336,3846","276,2832",2,1,"3,54992914199829","1,50001335144043","0,11510768532753",0,"0,396621555089951",0,,,"0,000466346740722656",,"34,5364723205566","34,684741973877"
45,"08-24-2018 10:27:38,325","346,3847","286,2833",2,1,"3,55395364761353","1,50005340576172","0,119273267686367",0,"0,411417603492737",0,,,"0,000378608703613281",,"34,5587196350098","34,6737861633301"
46,"08-24-2018 10:27:48,326","356,3858","296,2844",2,1,"3,55768537521362","1,50004196166992","0,123439066112041",0,"0,426230579614639",0,,,"0,000379562377929688",,"34,5550079345703","34,6740608215332"
47,"08-24-2018 10:27:58,329","366,3887","306,2873",2,1,"3,56111860275269","1,50004577636719","0,127609133720398",0,"0,441073656082153",0,,,"0,00029754638671875",,"34,5693510528995","34,7051696777344"
48,"08-24-2018 10:28:08,329","376,3895","316,2881",2,1,"3,56412839889526","1,50003242492676","0,131774678826332",0,"0,455913931131363",0,,,"0,000307083129882813",,"34,5462036132813","34,5837936401367"
49,"08-24-2018 10:28:18,331","386,3913","326,2899",2,1,"3,56671571731567","1,50006294250488","0,135943859815598",0,"0,47077888250351",0,,,"0,000296592712402344",,"34,5815655033783","34,5837936401367"
50,"08-24-2018 10:28:28,332","396,3917","336,2903",2,1,"3,56887102127075","1,50001525878906","0,140111401677132",0,"0,485647886991501",0,,,"0,000165939331054688",,"34,6546897888184","34,6069831848145"
51,"08-24-2018 10:28:38,335","406,3951","346,2937",2,1,"3,57073736190796","1,50002288818359","0,144275426864624",0,"0,500512778759003",0,,,"0,000197410583496094",,"34,6034889221191","34,5942001342773"
52,"08-24-2018 10:28:48,335","416,3955","356,2941",2,1,"3,57240629196167","1,50002288818359","0,14844423532486",0,"0,515402019023895",0,,,"0,000173568725585938",,"34,6065406799316","34,6533241271973"
53,"08-24-2018 10:28:58,338","426,3981","366,2967",2,1,"3,57391309738159","1,50002288818359","0,152612432837486",0,"0,530295729637146",0,,,"0,000142097473144531",,"34,6385269165039","34,6377792358398"
54,"08-24-2018 10:29:08,341","436,4015","376,3001",2,1,"3,57533979415894","1,50004768371582","0,156781271100044",0,"0,545197725296021",0,,,"0,000147819519042969",,"34,6150169372559","34,6307640075684"
55,"08-24-2018 10:29:18,344","446,4043","386,3029",2,1,"3,5767388343811","1,50000762939453","0,160943374037743",0,"0,560081601142883",0,,,"0,000151634216308594",,"34,671161090327","34,5960048335784"
56,"08-24-2018 10:29:28,346","456,406","396,3046",2,1,"3,57810735702515","1,50003623962402","0,165112301707268",0,"0,574995636940002",0,,,"0,000131607055664063",,"34,684513092041","34,6201057434082"
57,"08-24-2018 10:29:38,351","466,4111","406,3097",2,1,"3,5794529914856","1,50002288818359","0,169283285737038",0,"0,589922666549683",0,,,"0,000108718872070313",,"34,6573829650879","34,6090927124023"
58,"08-24-2018 10:29:48,355","476,4153","416,3139",2,1,"3,58084440231323","1,50003623962402","0,173449382185936",0,"0,604837954044342",0,,,"9,72747802734375E-05",,"34,6784019470215","34,6551704406738"
59,"08-24-2018 10:29:58,357","486,4171","426,3157",2,1,"3,5821967124939","1,50001335144043","0,177615687251091",0,"0,619759678840637",0,,,"0,000105857849121094",,"34,6918487548828","34,6191673278809"
60,"08-24-2018 10:30:08,360","496,4199","436,3185",2,1,"3,58359479904175","1,50008392333984","0,181784495711327",0,"0,634696185588837",0,,,"0,000165939331054688",,"34,6366386413574","34,7249870300293"
61,"08-24-2018 10:30:18,361","506,4215","446,3201",2,1,"3,58502340316772","1,50003242492676","0,185950413346291",0,"0,649628102779388",0,,,"0,000176429748535156",,"34,7497138977051","34,7722358703613"
62,"08-24-2018 10:30:28,366","516,426","456,3246",2,1,"3,58639287948608","1,50003814697266","0,190119996666908",0,"0,664579033851624",0,,,"0,000166893005371094",,"34,7676773071289","34,8115921020508"
63,"08-24-2018 10:30:38,368","526,4276","466,3262",2,1,"3,58775663375855","1,50005722045898","0,194284752011299",0,"0,679518401622772",0,,,"0,000123023986816406",,"34,7725219726563","34,6771125793457"
64,"08-24-2018 10:30:48,372","536,4319","476,3305",2,1,"3,58921670913696","1,50003433227539","0,19845911860466",0,"0,694498181343079",0,,,"0,000135421752929688",,"34,7533378601074","34,642951965332"
65,"08-24-2018 10:30:58,372","546,4322","486,3308",2,1,"3,59063673019409","1,50002670288086","0,202625587582588",0,"0,70945554971695",0,,,"9,44137573242188E-05",,"34,827995300293","34,6579170227051"
66,"08-24-2018 10:31:08,376","556,4357","496,3343",2,1,"3,59203958511353","1,50004959106445","0,206789687275887",0,"0,724410176277161",0,,,"0,000161170959472656",,"34,8136596679688","34,6581916809082"
67,"08-24-2018 10:31:18,381","566,4409","506,3395",2,1,"3,59343671798706","1,50005531311035","0,210959628224373",0,"0,739391684532166",0,,,"0,000158309936523438",,"34,7801246643066","34,6633987426758"
68,"08-24-2018 10:31:28,384","576,4437","516,3423",2,1,"3,59484434127808","1,50005722045898","0,215129241347313",0,"0,754377841949463",0,,,"0,000155448913574219",,"34,7971611022949","34,6328849792481"
69,"08-24-2018 10:31:38,385","586,4452","526,3438",2,1,"3,59626626968384","1,50003623962402","0,219297274947166",0,"0,769364178180695",0,,,"0,000150680541992188",,"34,8294830322266","34,6579170227051"
70,"08-24-2018 10:31:48,386","596,4462","536,3448",2,1,"3,59766912460327","1,50005340576172","0,223462477326393",0,"0,784346163272858",0,,,"0,000164031982421875",,"34,8456190403162","34,6450997680523"
71,"08-24-2018 10:31:58,387","606,4473","546,3459",2,1,"3,5990252494812","1,50002288818359","0,227629467844963",0,"0,799340426921845",0,,,"0,000191688537597656",,"34,8556747436523","34,656379699707"
72,"08-24-2018 10:32:08,389","616,4494","556,348",2,1,"3,60044240951538","1,50005149841309","0,231798097491264",0,"0,814346373081207",0,,,"0,000152587890625",,"34,8477783203125","34,6630897521973"
73,"08-24-2018 10:32:18,392","626,4525","566,3511",2,1,"3,60186338424683","1,50004196166992","0,235966771841049",0,"0,829358339309692",0,,,"0,000164031982421875",,"34,8395118713379","34,7082214355469"
74,"08-24-2018 10:32:28,396","636,4562","576,3548",2,1,"3,60324239730835","1,50005722045898","0,240132093429565",0,"0,844363987445831",0,,,"0,000132560729980469",,"34,8632431030273","34,7182846069336"
75,"08-24-2018 10:32:38,399","646,4588","586,3574",2,1,"3,60460805892944","1,50006294250488","0,244300723075867",0,"0,859387397766113",0,,,"0,000141143798828125",,"34,8794096284158","34,6771125793457"
76,"08-24-2018 10:32:48,402","656,4622","596,3608",2,1,"3,60598230361938","1,50004577636719","0,248467192053795",0,"0,874408781528473",0,,,"0,000127792358398438",,"34,8821334838867","34,6850395202637"
77,"08-24-2018 10:32:58,405","666,4649","606,3635",2,1,"3,60735940933228","1,50003433227539","0,252635180950165",0,"0,88944137096405",0,,,"0,000146865844726563",,"34,8699150085449","34,5892906188965"
78,"08-24-2018 10:33:08,407","676,4674","616,366",2,1,"3,60876607894897","1,50005149841309","0,256805598735809",0,"0,904488563537598",0,,,"0,000164031982421875",,"34,893417123436","34,6475366491306"
79,"08-24-2018 10:33:18,408","686,4677","626,3663",2,1,"3,61012029647827","1,50003433227539","0,260966211557388",0,"0,919506072998047",0,,,"0,000131607055664063",,"34,9153208961019","34,6423372687503"
80,"08-24-2018 10:33:28,410","696,4696","636,3682",2,1,"3,61151456832886","1,50001525878906","0,265135437250137",0,"0,934560358524323",0,,,"0,000172615051269531",,"34,9205317204679","34,6923828125"
81,"08-24-2018 10:33:38,414","706,4738","646,3724",2,1,"3,61286687850952","1,50003051757813","0,269307732582092",0,"0,949631452560425",0,,,"0,000120162963867188",,"34,9135322570801","34,6667671203613"
82,"08-24-2018 10:33:48,416","716,4765","656,3751",2,1,"3,61426782608032","1,50006103515625","0,273473143577576",0,"0,964683473110199",0,,,"0,000191688537597656",,"34,9372253417969","34,7911529541016"
83,"08-24-2018 10:33:58,419","726,479","666,3776",2,1,"3,61563158035278","1,50001525878906","0,277640968561173",0,"0,979749858379364",0,,,"0,000132560729980469",,"34,9338722564229","34,7640113830566"
84,"08-24-2018 10:34:08,420","736,4801","676,3787",2,1,"3,6169753074646","1,50003242492676","0,28180980682373",0,"0,994825661182404",0,,,"0,000143051147460938",,"34,9372253417969","34,727108001709"
85,"08-24-2018 10:34:18,424","746,4844","686,383",2,1,"3,61834383010864","1,50002861022949","0,285978078842163",0,"1,00990509986877",0,,,"0,000123023986816406",,"34,9171487907671","34,727108001709"
86,"08-24-2018 10:34:28,426","756,4857","696,3843",2,1,"3,61971616744995","1,50005149841309","0,290139436721802",0,"1,02496516704559",0,,,"0,000139236450195313",,"34,9506568908691","34,6850395202637"
87,"08-24-2018 10:34:38,427","766,4873","706,3859",2,1,"3,62107419967651","1,50006675720215","0,2943095266819",0,"1,04006254673004",0,,,"0,000133514404296875",,"34,9372253417969","34,678955078125"
88,"08-24-2018 10:34:48,428","776,4884","716,387",2,1,"3,62245988845825","1,50007438659668","0,298473656177521",0,"1,05514395236969",0,,,"0,000132560729980469",,"34,9429969787598","34,6676406860352"
89,"08-24-2018 10:34:58,431","786,491","726,3896",2,1,"3,62385988235474","1,50003051757813","0,302647203207016",0,"1,07026529312134",0,,,"0,000157356262207031",,"34,9813915228926","34,616131343817"
90,"08-24-2018 10:35:08,436","796,496","736,3946",2,1,"3,62516260147095","1,50000953674316","0,30681574344635",0,"1,08537411689758",0,,,"0,000128746032714844",,"35,0015024058667","34,6435778163128"
91,"08-24-2018 10:35:18,437","806,497","746,3956",2,1,"3,62651968002319","1,50005149841309","0,310980767011642",0,"1,10047602653503",0,,,"0,000118255615234375",,"34,9740597481397","34,6335185602069"
92,"08-24-2018 10:35:28,440","816,4998","756,3984",2,1,"3,62792634963989","1,50002670288086","0,315145403146744",0,"1,11558210849762",0,,,"0,000168800354003906",,"35,0090675354004","34,6237525939941"
93,"08-24-2018 10:35:38,440","826,4999","766,3985",2,1,"3,62932348251343","1,50003433227539","0,319316029548645",0,"1,13071572780609",0,,,"0,000156402587890625",,"35,0176238158052","34,6377790955762"
94,"08-24-2018 10:35:48,443","836,5027","776,4013",2,1,"3,63072347640991","1,50007247924805","0,323484629392624",0,"1,1458477973938",0,,,"0,000153541564941406",,"35,0051193237305","34,7109642028809"
95,"08-24-2018 10:35:58,443","846,5029","786,4015",2,1,"3,63212156295776","1,50005722045898","0,327647298574448",0,"1,16096413135529",0,,,"0,000155448913574219",,"34,9911155700684","34,6457290649414"
96,"08-24-2018 10:36:08,449","856,5094","796,408",2,1,"3,63352632522583","1,50005149841309","0,331818431615829",0,"1,17611718177795",0,,,"0,000139236450195313",,"35,0072402954102","34,6771125793457"
97,"08-24-2018 10:36:18,453","866,5132","806,4118",2,1,"3,63495969772339","1,50003623962402","0,33598518371582",0,"1,19126009941101",0,,,"0,0001373291015625",,"34,980167388916","34,6740608215332"
98,"08-24-2018 10:36:28,458","876,5181","816,4167",2,1,"3,63641500473022","1,50003242492676","0,340152531862259",0,"1,20641124248505",0,,,"0,000184059143066406",,"35,0252227783203","34,6743850708008"
99,"08-24-2018 10:36:38,461","886,5214","826,42",2,1,"3,63785600662231","1,50001525878906","0,34432253241539",0,"1,22157824039459",0,,,"8,86917114257813E-05",,"35,0038912044563","34,7134094238281"
100,"08-24-2018 10:36:48,466","896,5257","836,4243",2,1,"3,63932371139526","1,50005912780762","0,348493874073029",0,"1,23675608634949",0,,,"0,000144004821777344",,"35,029502825889","34,6185493469238"
101,"08-24-2018 10:36:58,466","906,5263","846,4249",2,1,"3,64084672927856","1,50006675720215","0,352660030126572",0,"1,25192129611969",0,,,"0,000161170959472656",,"35,0462265014648","34,6676406860352"
102,"08-24-2018 10:37:08,471","916,531","856,4296",2,1,"3,6423830986023","1,50004386901855","0,356828272342682",0,"1,26710033416748",0,,,"0,000164985656738281",,"34,9716079540869","34,5950858692503"
103,"08-24-2018 10:37:18,474","926,5345","866,4331",2,1,"3,64386987686157","1,50004959106445","0,360992431640625",0,"1,28227090835571",0,,,"0,00011444091796875",,"35,0142478942871","34,6896209716797"
104,"08-24-2018 10:37:28,480","936,5406","876,4392",2,1,"3,64548826217651","1,50005531311035","0,36516484618187",0,"1,29747807979584",0,,,"0,000132560729980469",,"35,0891304016113","34,6984481811523"
105,"08-24-2018 10:37:38,483","946,543","886,4416",2,1,"3,64709234237671","1,50004196166992","0,369331151247025",0,"1,31266975402832",0,,,"0,000147819519042969",,"35,0715065002441","34,675594329834"
106,"08-24-2018 10:37:48,487","956,5472","896,4458",2,1,"3,64873361587524","1,50003623962402","0,37350258231163",0,"1,32788670063019",0,,,"0,000136375427246094",,"35,0915792366128","34,6664315185916"
107,"08-24-2018 10:37:58,489","966,5491","906,4477",2,1,"3,65036725997925","1,50001907348633","0,377667933702469",0,"1,34308838844299",0,,,"0,000169754028320313",,"35,0589714050293","34,6164283752441"
108,"08-24-2018 10:38:08,493","976,5536","916,4522",2,1,"3,65205526351929","1,50005340576172","0,381836652755737",0,"1,35830926895142",0,,,"0,000178337097167969",,"35,0401229858398","34,6435775756836"
109,"08-24-2018 10:38:18,498","986,5583","926,4569",2,1,"3,65378713607788","1,50003051757813","0,386005789041519",0,"1,37353873252869",0,,,"0,000164985656738281",,"35,0781784057617","34,6347236633301"
110,"08-24-2018 10:38:28,500","996,5597","936,4583",2,1,"3,65553712844849","1,50003051757813","0,390169084072113",0,"1,38875424861908",0,,,"0,000176429748535156",,"35,0529022216797","34,6103248596191"
111,"08-24-2018 10:38:38,501","1006,5613","946,4599",2,1,"3,65729284286499","1,50004386901855","0,39433816075325",0,"1,4039980173111",0,,,"0,000168800354003906",,"35,0799713134766","34,6426429748535"
112,"08-24-2018 10:38:48,504","1016,5639","956,4625",2,1,"3,65907049179077","1,50004959106445","0,398507028818131",0,"1,41924846172333",0,,,"0,000195503234863281",,"35,0580751700764","34,6630744934082"
113,"08-24-2018 10:38:58,505","1026,565","966,4636",2,1,"3,66089963912964","1,5000114440918","0,402673035860062",0,"1,43449592590332",0,,,"0,000184059143066406",,"35,0693511962891","34,6341133117676"
114,"08-24-2018 10:39:08,508","1036,5684","976,467",2,1,"3,66271638870239","1,50007057189941","0,40683788061142",0,"1,44974684715271",0,,,"0,000159263610839844",,"35,1083026806859","34,6886820106508"
115,"08-24-2018 10:39:18,509","1046,5686","986,4672",2,1,"3,6645302772522","1,50003051757813","0,411005973815918",0,"1,4650171995163",0,,,"0,000188827514648438",,"35,075122833252","34,7024383544922"
116,"08-24-2018 10:39:28,510","1056,5698","996,4684",2,1,"3,66642332077026","1,50004959106445","0,415176540613174",0,"1,48030424118042",0,,,"0,000224113464355469",,"35,1040229797363","34,6981430053711"
117,"08-24-2018 10:39:38,513","1066,5732","1006,4718",2,1,"3,66822481155396","1,50002861022949","0,419340640306473",0,"1,49557530879974",0,,,"0,0001678466796875",,"35,1454544067383","34,7255897521973"
118,"08-24-2018 10:39:48,515","1076,575","1016,4736",2,1,"3,67007493972778","1,50007438659668","0,423509061336517",0,"1,51086986064911",0,,,"0,000146865844726563",,"35,1000747680664","34,6808013916016"
119,"08-24-2018 10:39:58,518","1086,5785","1026,4771",2,1,"3,67190885543823","1,50004577636719","0,427677124738693",0,"1,52617073059082",0,,,"0,000233650207519531",,"35,1119537353516","34,7106590270996"
120,"08-24-2018 10:40:08,523","1096,5829","1036,4815",2,1,"3,67370939254761","1,50005149841309","0,431848496198654",0,"1,5414913892746",0,,,"0,000171661376953125",,"35,0979537963867","34,6746597290039"
121,"08-24-2018 10:40:18,524","1106,5838","1046,4824",2,1,"3,67548894882202","1,50005531311035","0,436011552810669",0,"1,55678904056549",0,,,"0,000225067138671875",,"35,147575378418","34,6402206420898"
122,"08-24-2018 10:40:28,528","1116,588","1056,4866",2,1,"3,67727041244507","1,50003623962402","0,440184563398361",0,"1,57213068008423",0,,,"0,000168800354003906",,"35,1201746818509","34,6301537566325"
123,"08-24-2018 10:40:38,531","1126,5914","1066,49",2,1,"3,67907381057739","1,50004196166992","0,444350630044937",0,"1,58745408058167",0,,,"0,000214576721191406",,"35,1341821101822","34,6457290649414"
124,"08-24-2018 10:40:48,534","1136,5941","1076,4927",2,1,"3,6807541847229","1,50003242492676","0,448517292737961",0,"1,60278713703156",0,,,"0,000241279602050781",,"35,104622316592","34,6783485412598"
125,"08-24-2018 10:40:58,536","1146,5959","1086,4945",2,1,"3,68251085281372","1,50004577636719","0,452685445547104",0,"1,61813282966614",0,,,"0,000166893005371094",,"35,0708465576172","34,6435775756836"
126,"08-24-2018 10:41:08,540","1156,6003","1096,4989",2,1,"3,68426942825317","1,50003623962402","0,456853896379471",0,"1,63348698616028",0,,,"0,000138282775878906",,"35,1000747680664","34,7161369323731"
127,"08-24-2018 10:41:18,545","1166,6054","1106,504",2,1,"3,6860146522522","1,50005531311035","0,46101775765419",0,"1,64883136749268",0,,,"0,000142097473144531",,"35,0836259578613","34,7286451996881"
128,"08-24-2018 10:41:28,549","1176,6088","1116,5074",2,1,"3,68779134750366","1,50004577636719","0,465188533067703",0,"1,66420865058899",0,,,"0,000182151794433594",,"35,1545753479004","34,6713371276856"
129,"08-24-2018 10:41:38,552","1186,6122","1126,5108",2,1,"3,68952512741089","1,50001335144043","0,46935760974884",0,"1,67958700656891",0,,,"0,000170707702636719",,"35,1563987731934","34,651496887207"
130,"08-24-2018 10:41:48,554","1196,6141","1136,5127",2,1,"3,69128274917603","1,50007629394531","0,473526000976563",0,"1,69497013092041",0,,,"0,000165939331054688",,"35,1350708007813","34,6783485412598"
131,"08-24-2018 10:41:58,556","1206,6166","1146,5152",2,1,"3,69306325912476","1,50006294250488","0,477692604064941",0,"1,71035397052765",0,,,"0,000194549560546875",,"35,1158981323242","34,6835174560547"
132,"08-24-2018 10:42:08,559","1216,6193","1156,5179",2,1,"3,6948504447937","1,4999885559082","0,481860190629959",0,"1,72574889659882",0,,,"0,00023651123046875",,"35,0945741877913","34,6289487572096"
133,"08-24-2018 10:42:18,564","1226,6237","1166,5223",2,1,"3,69662237167358","1,50007438659668","0,486028343439102",0,"1,74115324020386",0,,,"0,000200271606445313",,"35,1024705322016","34,6289482116699"
134,"08-24-2018 10:42:28,568","1236,628","1176,5266",2,1,"3,69837427139282","1,50003051757813","0,490197837352753",0,"1,75656998157501",0,,,"0,000182151794433594",,"35,0826915245864","34,7243804931641"
135,"08-24-2018 10:42:38,572","1246,632","1186,5306",2,1,"3,70012903213501","1,5000057220459","0,494361758232117",0,"1,77197349071503",0,,,"0,000209808349609375",,"35,1049537658691","34,5850219726563"
136,"08-24-2018 10:42:48,573","1256,6326","1196,5312",2,1,"3,70192003250122","1,50004959106445","0,498529821634293",0,"1,78739953041077",0,,,"0,000174522399902344",,"35,1167945861816","34,7021293640137"
